raw_mbit,workload_gflop,result_ratio,feature_ratio,preprocess_fraction,compute_power_w,onboard_rate_gflops,ground_rate_gflops,reference_link_mbps,result_mbit,feature_mbit,onboard_heat_j,ground_tx_heat_j,onboard_latency_ms,ground_compute_ms
36.555363,2.873519,0.021709835,0.23108989,0.37490126,15.172258,4.0,80.0,50.0,0.7936108,8.447575,8.501566,2.412654,718.37976,35.918987
42.96089,2.0494354,0.0426175,0.17907858,0.31996235,12.818507,4.0,80.0,50.0,1.8308859,7.6933756,5.122787,2.835419,512.3588,25.617943
32.85846,1.015104,0.014135043,0.13123447,0.25100693,9.392728,4.0,80.0,50.0,0.46445578,4.312163,1.8592463,2.1686585,253.776,12.688801
18.514751,0.48283464,0.014174283,0.13418844,0.2155223,7.205605,4.0,80.0,50.0,0.2624333,2.4844656,0.6784275,1.2219735,120.70866,6.035433
51.19272,3.7007914,0.030763429,0.21404769,0.43005276,17.336975,4.0,80.0,50.0,1.5748636,10.957683,12.511303,3.3787193,925.1979,46.25989
17.224094,1.4936813,0.047916662,0.1658635,0.28291208,11.066944,4.0,80.0,50.0,0.8253211,2.8568485,3.2234452,1.1367902,373.42032,18.671017
27.517023,2.8914118,0.028838428,0.25494412,0.37609413,15.22091,4.0,80.0,50.0,0.7935477,7.015303,8.581934,1.8161236,722.85297,36.142647
28.865927,0.37238964,0.019357303,0.12234432,0.20815931,6.672695,4.0,80.0,50.0,0.5587665,3.531582,0.4845443,1.9051511,93.09741,4.6548705
42.118023,3.3493767,0.016916938,0.20855238,0.40662512,16.437294,4.0,80.0,50.0,0.712508,8.783813,10.735665,2.7797894,837.3442,41.86721
21.0932,0.6659889,0.03788496,0.15430035,0.2277326,8.014931,4.0,80.0,50.0,0.7991151,3.2546883,1.0408818,1.3921514,166.49724,8.324862
19.852001,1.1701497,0.03062431,0.17367133,0.2613433,9.956898,4.0,80.0,50.0,0.60795385,3.4477234,2.271957,1.310232,292.53745,14.626871
45.81941,1.0679809,0.046974014,0.17200689,0.25453207,9.58786,4.0,80.0,50.0,2.1523213,7.8812537,1.9967321,3.0240808,266.99524,13.349762
36.195515,2.9318168,0.026058108,0.21175808,0.3787878,15.330443,4.0,80.0,50.0,0.9431866,7.6646924,8.76448,2.3889039,732.9542,36.64771
29.459698,1.4252768,0.030924438,0.14095151,0.27835178,10.83881,4.0,80.0,50.0,0.9110246,4.152389,3.0124195,1.94434,356.31918,17.81596
38.643425,3.0188258,0.020714436,0.19294949,0.3845884,15.56479,4.0,80.0,50.0,0.80047673,7.456229,9.162541,2.550466,754.7065,37.735325
53.002674,3.2620308,0.014350353,0.2648418,0.40080205,16.209356,4.0,80.0,50.0,0.76060706,14.037323,10.310707,3.4981766,815.5077,40.775387
41.839367,1.18153,0.042302307,0.117853045,0.262102,9.997392,4.0,80.0,50.0,1.7699018,4.9308968,2.3033826,2.761398,295.3825,14.769125
45.67379,2.8767462,0.022845058,0.20460816,0.3751164,15.18104,4.0,80.0,50.0,1.0434203,9.34523,8.51604,3.01447,719.1866,35.959328
14.039771,0.63163745,0.027979214,0.14686777,0.2254425,7.8688207,4.0,80.0,50.0,0.39282176,2.06199,0.96919715,0.9266249,157.90936,7.895468
27.309294,1.1345268,0.016951187,0.14049783,0.25896844,9.829368,4.0,80.0,50.0,0.46292496,3.8368967,2.174578,1.8024133,283.6317,14.181585
17.933392,3.0285957,0.024645884,0.19371325,0.38523972,15.590977,4.0,80.0,50.0,0.4419843,3.4739356,9.207659,1.1836039,757.1489,37.857445
9.901534,0.296925,0.010009871,0.117414415,0.20312834,6.2808876,4.0,80.0,50.0,0.09911307,1.1625828,0.36366576,0.6535012,74.231255,3.7115626
29.793863,1.0050948,0.015966648,0.17979953,0.25033966,9.355451,4.0,80.0,50.0,0.47570816,5.3569226,1.8336074,1.966395,251.2737,12.563685
43.22663,1.5954189,0.048089724,0.13746905,0.2896946,11.40054,4.0,80.0,50.0,2.0787566,5.9423237,3.5467844,2.8529575,398.85474,19.942736
30.09904,2.5540812,0.031666055,0.23821366,0.35360542,14.287631,4.0,80.0,50.0,0.95311785,7.170002,7.115895,1.9865365,638.52026,31.926014
9.985289,0.31161872,0.041500807,0.15610513,0.20410791,6.359324,4.0,80.0,50.0,0.41439754,1.5587548,0.38642845,0.65902907,77.90468,3.8952339
59.928318,3.6147099,0.035623297,0.28408676,0.424314,17.119055,4.0,80.0,50.0,2.1348443,17.024841,12.066681,3.955269,903.6775,45.183872
55.690563,3.2038803,0.034082163,0.23378344,0.39692536,16.056591,4.0,80.0,50.0,1.8980548,13.019531,10.031462,3.6755772,800.9701,40.048504
13.837011,0.5071707,0.020339835,0.1430773,0.21714471,7.3178673,4.0,80.0,50.0,0.28144252,1.9797622,0.72372454,0.91324276,126.79267,6.3396335
56.147648,3.057262,0.026744245,0.19007379,0.3871508,15.6676655,4.0,80.0,50.0,1.5016265,10.672196,9.340531,3.7057447,764.3155,38.215775
22.95163,0.56370026,0.024040742,0.1362839,0.22091335,7.572604,4.0,80.0,50.0,0.5517742,3.1279376,0.83239233,1.5148076,140.92506,7.046253
46.43856,2.0728436,0.02681105,0.19946326,0.3215229,12.888893,4.0,80.0,50.0,1.2450665,9.262786,5.2097487,3.064945,518.2109,25.910545
24.49984,1.546268,0.031322397,0.19241136,0.28641787,11.240198,4.0,80.0,50.0,0.7673937,4.7140474,3.3891702,1.6169894,386.56702,19.32835
33.03818,1.6587676,0.017112663,0.19293347,0.29391783,11.605031,4.0,80.0,50.0,0.5653713,6.3741713,3.7537596,2.18052,414.6919,20.734594
38.179867,2.3905878,0.01391455,0.1672695,0.34270585,13.822101,4.0,80.0,50.0,0.53125566,6.3863273,6.443374,2.5198712,597.6469,29.882347
12.206478,0.9725927,0.016357739,0.1237793,0.24817285,9.233627,4.0,80.0,50.0,0.19967039,1.5109093,1.751209,0.8056276,243.14818,12.157409
38.06377,3.4453135,0.016509375,0.24470527,0.4130209,16.685606,4.0,80.0,50.0,0.628409,9.314405,11.209993,2.5122087,861.32837,43.066418
35.223778,1.339741,0.03767269,0.15933669,0.2726494,10.54886,4.0,80.0,50.0,1.3269745,5.61244,2.7558844,2.3247695,334.93524,16.746763
61.77714,3.1519926,0.01888853,0.26108402,0.39346617,15.919574,4.0,80.0,50.0,1.1668794,16.129025,9.784783,4.0772915,787.9981,39.399906
32.367626,2.3033073,0.03395079,0.19843286,0.33688715,13.569681,4.0,80.0,50.0,1.0989065,6.422801,6.0947537,2.1362634,575.82684,28.791342
25.462696,0.87092316,0.023886109,0.13211659,0.24139488,8.844367,4.0,80.0,50.0,0.6082047,3.3640447,1.5020388,1.6805379,217.73079,10.886539
